ENGLISH TIME - A2 GENEL BİRLEŞİK LİSTE (225 Kelime)
====================================================================================================

No   | English                                 | Türkçe                                  | English Hint                                                | Türkçe İpucu
23   | Excitement                              | Heyecan                                 | A feeling of being very happy and active.                   | Çok mutlu ve aktif hissetme durumu.
24   | Extensive                               | Kapsamlı / Geniş çaplı                  | Very large and having many details.                         | Çok büyük ve birçok detayı olan.
25   | Extremes                                | Uç noktalar / Aşırılıklar               | The highest and lowest levels of something.                 | Bir şeyin en yüksek ve en düşük seviyeleri.
26   | Features                                | Özellikler                              | Important or interesting parts of something.                | Bir şeyin önemli veya ilginç kısımları.
27   | Fjords                                  | Fiyortlar                               | Long, narrow areas of sea between high rocks.               | Yüksek kayalar arasındaki uzun, dar deniz alanları.
28   | Forest                                  | Orman                                   | A large place with many trees.                              | Çok sayıda ağacın olduğu büyük yer.
29   | Form                                    | Biçim / Şekillendirmek                  | To make the shape of something.                             | Bir şeyin şeklini oluşturmak.
30   | Gaze                                    | Gözünü dikip bakmak / Bakış             | To look at something for a long time.                       | Bir şeye uzun süre bakmak.
31   | Geysers                                 | Gayzerler                               | Holes in the ground that shoot hot water.                   | Yerden sıcak su fırlatan delikler.
32   | Glad                                    | Memnun                                  | Happy and pleased.                                          | Mutlu ve hoşnut olan.
33   | Gold                                    | Altın                                   | A yellow, expensive metal.                                  | Sarı, pahalı bir metal.
34   | Gravy                                   | Et suyu sosu                            | A brown sauce made from meat juices.                        | Et suyundan yapılan kahverengi sos.
35   | Guide                                   | Rehber / Rehberlik etmek                | To show people the way.                                     | İnsanlara yolu göstermek.
36   | Herb                                    | Bitki / Baharat otu                     | A plant used to give food more flavor.                      | Yemeğe tat vermek için kullanılan bitki.
37   | High                                    | Yüksek                                  | Tall or far up.                                             | Uzun veya çok yukarıda olan.
38   | Hill                                    | Tepe                                    | A small mountain.                                           | Küçük bir dağ.
39   | Hospitality                             | Misafirperverlik                        | Being friendly and welcoming to guests.                     | Misafirlere karşı dost canlısı ve sıcakkanlı olmak.
40   | Idea                                    | Fikir                                   | A thought or a plan.                                        | Bir düşünce veya plan.
41   | Impressive                              | Etkileyici                              | Making you say 'wow' because it is so good.                 | Çok iyi olduğu için sana 'vay canına' dedirten.
42   | Include                                 | İçermek / Dahil etmek                   | To have something as a part.                                | Bir şeyi kendi içinde parça olarak bulundurmak.
43   | Incredible                              | İnanılmaz                               | Hard to believe because it is so great.                     | Çok harika olduğu için inanması zor olan.
44   | Internship                              | Staj                                    | A short job to learn how to work.                           | Nasıl çalışılacağını öğrenmek için kısa süreli iş.
45   | Island                                  | Ada                                     | Land with water all around it.                              | Etrafı tamamen suyla çevrili kara parçası.
46   | Jewelry                                 | Mücevher / Takı                         | Rings and necklaces you wear to look nice.                  | Güzel görünmek için taktığın yüzükler ve kolyeler.
47   | Lake                                    | Göl                                     | A large body of water with land around it.                  | Etrafında kara olan büyük su birikintisi.
48   | Landscape                               | Manzara / Peyzaj                        | All the things you see when you look across an area.        | Bir alana baktığında gördüğün her şey.
49   | Long                                    | Uzun                                    | Not short.                                                  | Kısa olmayan.
50   | Magnificent                             | Muhteşem / Görkemli                     | Extremely beautiful or great.                               | Son derece güzel veya harika.
51   | Manager                                 | Yönetici / Müdür                        | The boss of a shop or an office.                            | Bir dükkanın veya ofisin yöneticisi/patronu.
52   | Mash                                    | Püre / Ezmek                            | To crush food until it is soft.                             | Yiyecekleri yumuşayana kadar ezmek.
53   | Mountains                               | Dağlar                                  | Very high and big hills.                                    | Çok yüksek ve büyük tepeler.
54   | Narrow                                  | Dar                                     | Not wide.                                                   | Geniş olmayan.
55   | Neighbor                                | Komşu                                   | A person who lives near you.                                | Senin yakınında/yanında yaşayan kişi.
56   | North                                   | Kuzey                                   | The direction at the top of a map.                          | Haritanın en üst tarafındaki yön.
57   | Opportunity                             | Fırsat                                  | A chance to do something good.                              | İyi bir şey yapmak için bir şans.
58   | Peak                                    | Zirve / Doruk                           | The top part of a mountain.                                 | Bir dağın en üst kısmı.
59   | Prepare                                 | Hazırlamak                              | To get something ready.                                     | Bir şeyi hazır hale getirmek.
60   | Rise                                    | Yükselmek / Artış                       | To go up.                                                   | Yukarı doğru çıkmak.
61   | Sensational                             | Sansasyonel / Çarpıcı                   | Very exciting or surprising.                                | Çok heyecan verici veya şaşırtıcı.
62   | Shape                                   | Şekil                                   | The outer form of something.                                | Bir şeyin dış görünüşü veya formu.
63   | Shares                                  | Paylaşır / Paylar                       | Gives a part of something to others.                        | Bir şeyin bir kısmını başkalarına verir.
64   | Short                                   | Kısa                                    | Not long or not tall.                                       | Uzun veya boylu olmayan.
65   | Silver                                  | Gümüş                                   | A grey and white, expensive metal.                          | Gri ve beyaz renkli, pahalı bir metal.
66   | Slang                                   | Argo                                    | Informal words used by people.                              | İnsanların kullandığı resmi olmayan günlük kelimeler.
67   | Sophisticated                           | Sofistike / Çok yönlü                   | Knowing a lot about culture and style.                      | Kültür ve stil hakkında çok şey bilen.
68   | South                                   | Güney                                   | The direction at the bottom of a map.                       | Haritanın en alt tarafındaki yön.
69   | Special                                 | Özel                                    | Different from what is normal; important.                   | Normalden farklı olan; önemli.
70   | Suggest                                 | Önermek                                 | To give an idea for someone to think about.                 | Birinin düşünmesi için ona bir fikir vermek.
71   | Surrounding                             | Çevreleyen / Civar                      | Being everywhere around something.                          | Bir şeyin her tarafında olan.
72   | Take-Away                               | Al-götür (Paket servis)                 | Food you buy at a restaurant and eat at home.               | Restorandan satın alıp evde yediğin yemek.
73   | Think                                   | Düşünmek                                | To use your brain to have an idea.                          | Bir fikre sahip olmak için beynini kullanmak.
74   | Topic                                   | Konu / Başlık                           | The subject you are talking or writing about.               | Hakkında konuştuğun veya yazdığın şey.
75   | Tourist Guide                           | Turist Rehberi                          | A person who shows interesting places to visitors.          | Ziyaretçilere ilginç yerleri gösteren kişi.
76   | Trail                                   | Patika / İz                             | A path in the countryside.                                  | Kırsal alandaki doğal yol.
77   | Valley                                  | Vadi                                    | The low land between mountains.                             | Dağların arasındaki alçak arazi.
78   | Vast                                    | Uçsuz bucaksız / Çok geniş              | Very, very large.                                           | Çok ama çok büyük.
79   | Very Beautiful                          | Çok Güzel                               | Looking extremely nice.                                     | Son derece hoş/güzel görünen.
80   | Vinegar                                 | Sirke                                   | A sour liquid used with food.                               | Yiyeceklerle birlikte kullanılan ekşi sıvı.
81   | Volcanoes                               | Volkanlar / Yanardağlar                 | Mountains that can blow hot fire and rocks.                 | Sıcak ateş ve taşlar püskürtebilen dağlar.
82   | Waterfalls                              | Şelaleler                               | Places where water falls down from a high rock.             | Suyun yüksek bir kayadan aşağı düştüğü yerler.
83   | Wave                                    | Dalga                                   | Water moving up and down in the sea.                        | Denizde aşağı yukarı hareket eden su.
84   | West                                    | Batı                                    | The direction where the sun goes down.                      | Güneşin battığı yön.
85   | Western                                 | Batılı / Batıya ait                     | From the west part of the world.                            | Dünyanın batı kısmından olan.
86   | Wide                                    | Geniş                                   | Large from one side to the other.                           | Bir taraftan diğer tarafa büyük/açık olan.
87   | Wonderful                               | Harika / Mükemmel                       | Making you feel very happy, great.                          | Seni çok mutlu hissettiren, harika.
88   | Woods                                   | Ormanlık alan / Koruluk                 | A small forest with many trees.                             | Çok sayıda ağacın olduğu küçük orman.
89   | Yelling                                 | Bağırma / Haykırma                      | Shouting very loudly.                                       | Çok yüksek sesle bağırmak.
90   | Beaches                                 | Plajlar / Kumsallar                     | Sandy places next to the sea.                               | Deniz kenarındaki kumlu yerler.
91   | Borders                                 | Sınırlar                                | Lines between countries.                                    | Ülkeler arasındaki çizgiler.
92   | Bowls                                   | Kaseler                                 | Deep, round dishes for food.                                | Yemek için derin, yuvarlak kaplar.
93   | Climates                                | İklimler                                | The normal weather in different places.                     | Farklı yerlerdeki normal hava durumları.
94   | Coasts                                  | Sahiller / Kıyılar                      | Lands next to the sea.                                      | Deniz kenarındaki kara parçaları.
95   | Continents                              | Kıtalar                                 | The large land areas on Earth.                              | Dünyadaki büyük kara parçaları.
96   | Forests                                 | Ormanlar                                | Large places with many trees.                               | Çok ağacın olduğu büyük yerler.
97   | Forms                                   | Biçimler / Şekiller                     | Different shapes of things.                                 | Şeylerin farklı şekilleri.
98   | Gazes                                   | Bakışlar                                | Long looks at something.                                    | Bir şeye atılan uzun bakışlar.
99   | Guides                                  | Rehberler                               | People who show you places.                                 | Sana yerleri gösteren kişiler.
100  | Herbs                                   | Bitkiler / Baharat otları               | Plants used to give food more flavor.                       | Yemeğe tat vermek için kullanılan bitkiler.
101  | Hills                                   | Tepeler                                 | Small mountains.                                            | Küçük dağlar.
102  | Ideas                                   | Fikirler                                | Thoughts or plans.                                          | Düşünceler veya planlar.
103  | Internships                             | Stajlar                                 | Short jobs to learn how to work.                            | Nasıl çalışılacağını öğrenmek için kısa işler.
104  | Islands                                 | Adalar                                  | Lands with water all around them.                           | Etrafları tamamen suyla çevrili karalar.
105  | Lakes                                   | Göller                                  | Large areas of water with land around them.                 | Etraflarında kara olan büyük su alanları.
106  | Landscapes                              | Manzaralar / Peyzajlar                  | The looks of the lands.                                     | Geniş arazilerin görünümleri.
107  | Managers                                | Yöneticiler / Müdürler                  | Bosses of shops or offices.                                 | Dükkanların veya ofislerin patronları.
108  | Neighbors                               | Komşular                                | People who live near you.                                   | Yakınında yaşayan insanlar.
109  | Opportunities                           | Fırsatlar                               | Chances to do something good.                               | İyi şeyler yapmak için eline geçen şanslar.
110  | Peaks                                   | Zirveler / Doruklar                     | The top parts of mountains.                                 | Dağların en üst kısımları.
111  | Shapes                                  | Şekiller                                | The outer forms of things.                                  | Nesnelerin dış formları.
112  | Topics                                  | Konular / Başlıklar                     | Subjects you talk or write about.                           | Hakkında konuştuğun veya yazdığın şeyler.
113  | Tourist Guides                          | Turist Rehberleri                       | People who show places to visitors.                         | Ziyaretçilere ilginç yerleri gösteren kişiler.
114  | Trails                                  | Patikalar / İzler                       | Paths in the countryside.                                   | Kırsal alanlardaki doğal yollar.
115  | Valleys                                 | Vadiler                                 | Low lands between mountains.                                | Dağların arasındaki alçak araziler.
116  | Waves                                   | Dalgalar                                | Moving waters in the sea.                                   | Denizdeki hareketli sular.
117  | Anniversary                             | Yıl dönümü                              | A special date we remember every year.                      | Her yıl hatırladığımız özel gün.
118  | Cliff                                   | Uçurum / Kayalık                        | A high, steep rock next to the sea.                         | Deniz kenarındaki yüksek, dik kaya.
119  | Customer                                | Müşteri                                 | A person who buys things in a shop.                         | Bir dükkandan bir şeyler satın alan kişi.
120  | Dozen                                   | Düzine                                  | A group of twelve things.                                   | On iki şeyden oluşan grup.
121  | Extreme                                 | Uç nokta / Aşırılık                     | The highest or lowest level of something.                   | Bir şeyin en yüksek veya en düşük seviyesi.
122  | Feature                                 | Özellik                                 | An important part of something.                             | Bir şeyin önemli bir kısmı.
123  | Fjord                                   | Fiyort                                  | A long, narrow area of sea between high rocks.              | Yüksek kayalar arasındaki uzun, dar deniz alanı.
124  | Geyser                                  | Gayzer                                  | A hole in the ground that shoots hot water.                 | Yerden sıcak su fırlatan delik.
125  | Mountain                                | Dağ                                     | A very high and big hill.                                   | Çok yüksek ve büyük tepe.
126  | Share                                   | Paylaşmak / Pay                         | To give a part of something to someone.                     | Birine bir şeyin bir parçasını vermek.
127  | Volcano                                 | Volkan / Yanardağ                       | A mountain that can blow hot fire and rocks.                | Sıcak ateş ve taş fırlatan dağ.
128  | Waterfall                               | Şelale                                  | A place where water falls down from high up.                | Suyun yüksekten aşağı düştüğü yer.
129  | Wood                                    | Ormanlık alan / Tahta                   | The material that comes from trees.                         | Ağaçlardan gelen malzeme (veya küçük orman).
130  | Architect                               | Mimar                                   | A person who draws plans for buildings.                     | Binalar için plan çizen kişi.
131  | Quiet                                   | Sessiz / Sakin                          | Making very little noise.                                   | Çok az ses çıkaran.
132  | Peaceful                                | Huzurlu                                 | Calm, quiet and without problems.                           | Sakin, sessiz ve sorunsuz.
133  | Country                                 | Ülke                                    | A nation with its own land and rules.                       | Kendi toprağı ve kuralları olan ulus.
134  | Countries                               | Ülkeler                                 | Nations with their own lands and rules.                     | Kendi toprakları ve kuralları olan uluslar.
135  | Holiday                                 | Tatil                                   | A day when you don't work or go to school.                  | Çalışmadığın veya okula gitmediğin bir gün.
136  | Holidays                                | Tatiller                                | Days when you don't work or go to school.                   | Çalışmadığın veya okula gitmediğin günler.
137  | Elderly                                 | Yaşlı / İhtiyar                         | Older people.                                               | Yaşça daha büyük olan kişiler.
138  | Reason                                  | Sebep / Neden                           | Why something happens.                                      | Bir şeyin neden olduğu, sebebi.
139  | Reasons                                 | Sebepler / Nedenler                     | Why things happen.                                          | Olayların neden olduğu, sebepleri.
140  | Addictive                               | Bağımlılık yapan                        | Making you want to do it more and more.                     | Sana onu daha da çok yapma isteği veren.
141  | Worse                                   | Daha kötü                               | More bad than something else.                               | Başka bir şeyden daha fena olan.
142  | Whether                                 | Olup olmadığı / İster...                | Used to talk about two choices.                             | İki seçenek hakkında konuşurken kullanılır.
143  | Exhausted                               | Çok yorgun / Tükenmiş                   | Very, very tired.                                           | Çok ama çok yorgun hissetme.
144  | Tinsel                                  | Süs şeridi / Simli süs                  | Shiny string used for decoration on a tree.                 | Ağaç vb. süslemek için kullanılan parlak ipler.
145  | Scary Face                              | Korkutucu yüz                           | A look that makes you feel afraid.                          | Seni korkutan bir ifade, görünüm.
146  | Scary Faces                             | Korkutucu yüzler                        | Looks that make you feel afraid.                            | Seni korkutan ifadeler.
147  | Scary                                   | Korkunç / Korkutucu                     | Making you feel afraid.                                     | Seni korkutan, ürküten.
148  | Carve                                   | Oymak / Keserek şekil vermek            | To cut into wood or a pumpkin to make a shape.              | Şekil vermek için tahtayı veya balkabağını kesmek.
149  | Pumpkin                                 | Balkabağı                               | A large, round, orange vegetable.                           | Büyük, yuvarlak, turuncu bir sebze.
150  | Pumpkins                                | Balkabakları                            | Large, round, orange vegetables.                            | Büyük, yuvarlak, turuncu sebzeler.
151  | Child                                   | Çocuk                                   | A young boy or girl.                                        | Genç bir erkek veya kız.
152  | Children                                | Çocuklar                                | Young boys and girls.                                       | Genç erkekler ve kızlar.
153  | Halloween                               | Cadılar Bayramı                         | A spooky holiday in October.                                | Ekim ayında kutlanan ürkütücü tatil.
154  | Candle                                  | Mum                                     | A stick of wax that gives light.                            | Yanarak ışık veren balmumu çubuğu.
155  | Candles                                 | Mumlar                                  | Sticks of wax that give light.                              | Yanarak ışık veren balmumu çubukları.
156  | Inside                                  | İçinde / İçeri                          | In a room or a building.                                    | Bir odanın veya binanın içinde olma durumu.
157  | Celebrate                               | Kutlamak                                | To have a party for a special day.                          | Özel bir gün için parti yapmak veya eğlenmek.
158  | Piece                                   | Parça / Tane                            | A part of something.                                        | Bir şeyin bir kısmı.
159  | Pieces                                  | Parçalar / Taneler                      | Parts of something.                                         | Bir şeyin kısımları.
160  | Tremendous                              | Muazzam / Kocaman                       | Very big or very great.                                     | Çok büyük veya çok harika.
161  | Religious                               | Dini                                    | About God or beliefs.                                       | Tanrı veya inançlarla ilgili.
162  | Street                                  | Sokak                                   | A road in a city or town.                                   | Şehir veya kasabadaki binaların arasındaki yol.
163  | Streets                                 | Sokaklar                                | Roads in a city or town.                                    | Şehir veya kasabadaki yollar.
164  | Endlessly                               | Sonsuzca / Durmaksızın                  | Never stopping.                                             | Hiç durmadan devam etme durumu.
165  | Need                                    | İhtiyaç / İhtiyaç duymak                | Something you must have.                                    | Kesinlikle sahip olman gereken şey.
166  | Needs                                   | İhtiyaçlar                              | Things you must have.                                       | Kesinlikle sahip olman gereken şeyler.
167  | Firstly                                 | İlk olarak / Öncelikle                  | The first thing to say or do.                               | Söylenecek veya yapılacak ilk şey.
168  | Relaxed                                 | Rahatlamış                              | Feeling calm and not stressed.                              | Sakin ve stressiz hissetmek.
169  | Companionship                           | Arkadaşlık / Yoldaşlık                  | The good feeling of being with someone.                     | Biriyle birlikte olmanın verdiği iyi his.
170  | Harmony                                 | Uyum / Ahenk                            | People or things living together happily.                   | Birlikte mutlu yaşayan insanlar veya şeyler.
171  | Peace                                   | Barış / Huzur                           | No war or no fighting.                                      | Savaş veya kavga olmaması.
172  | Maximize                                | En üst düzeye çıkarmak                  | To make something as big as possible.                       | Bir şeyi olabildiğince büyük veya çok yapmak.
173  | Totally                                 | Tamamen / Bütünüyle                     | Completely, 100 percent.                                    | Yüzde yüz, eksiksiz olarak.
174  | Clarify                                 | Açıklığa kavuşturmak                    | To make something easy to understand.                       | Bir şeyi anlaşılması kolay hale getirmek.
175  | Justify                                 | Haklı çıkarmak / Gerekçelendirmek       | To give a good reason for something.                        | Bir şey için iyi bir neden veya mazeret sunmak.
176  | Competition                             | Yarışma / Rekabet                       | A game to see who is the best.                              | Kimin en iyi olduğunu görmek için yapılan oyun.
177  | Competitions                            | Yarışmalar                              | Games to see who is the best.                               | Kimin en iyi olduğunu görmek için yapılan oyunlar.
178  | Friendship                              | Arkadaşlık / Dostluk                    | The relationship between friends.                           | Arkadaşlar arasındaki ilişki bağı.
179  | Friendships                             | Arkadaşlıklar / Dostluklar              | The relationships between friends.                          | Arkadaşlar arasındaki ilişki bağları.
180  | Dimension                               | Boyut / Ebat                            | The size of something, like length or width.                | Bir şeyin uzunluk veya genişlik gibi ölçüsü.
181  | Dimensions                              | Boyutlar / Ebatlar                      | The sizes of something.                                     | Bir şeyin ölçüleri.
182  | Adjective                               | Sıfat                                   | A word that describes a noun (like 'big' or 'red').         | Bir ismi tanımlayan kelime ('büyük' vb.).
183  | Adjectives                              | Sıfatlar                                | Words that describe nouns.                                  | İsimleri tanımlayan kelimeler.
184  | Careful                                 | Dikkatli                                | Thinking about what you do so you don't make a mistake.     | Hata yapmamak için ne yaptığına odaklanan.
185  | Slow                                    | Yavaş                                   | Not fast.                                                   | Hızlı hareket etmeyen.
186  | Fast                                    | Hızlı                                   | Moving very quickly.                                        | Çok çabuk hareket eden.
187  | Carnival                                | Karnaval                                | A big public party with music and dancing in the streets.   | Sokaklarda müzik ve dans olan büyük halk partisi.
188  | Carnivals                               | Karnavallar                             | Big public parties in the streets.                          | Sokaklardaki büyük halk partileri.
189  | Custom                                  | Gelenek / Görenek                       | A traditional way of acting in a society.                   | Bir toplumdaki geleneksel davranış biçimi.
190  | Customs                                 | Gelenekler / Görenekler                 | Traditional ways of acting in a society.                    | Bir toplumdaki geleneksel davranış biçimleri.
191  | Dance                                   | Dans / Dans etmek                       | Moving your body to music.                                  | Vücudunu müziğe göre hareket ettirmek.
192  | Dances                                  | Danslar                                 | Different styles of moving to music.                        | Müziğe göre hareket etmenin farklı stilleri.
193  | Myself                                  | Kendim                                  | Used by the person speaking to talk about themself.         | Konuşan kişinin kendinden bahsetmesi.
194  | Yourself                                | Kendin                                  | Used to talk about the person you are speaking to.          | Konuştuğun tekil kişi hakkında kullanılır.
195  | Himself                                 | Kendisi (Erkek)                         | Used to talk about a man or boy.                            | Bir adam veya erkek çocuğu hakkında konuşulur.
196  | Herself                                 | Kendisi (Kadın)                         | Used to talk about a woman or girl.                         | Bir kadın veya kız çocuğu hakkında konuşulur.
197  | Itself                                  | Kendisi (Hayvan/Eşya)                   | Used to talk about a thing or animal.                       | Bir nesne veya hayvan hakkında konuşulur.
198  | Ourselves                               | Kendimiz                                | Used by a group to talk about their own group.              | Bir grubun (biz) kendinden bahsetmesi.
199  | Yourselves                              | Kendiniz                                | Used to talk about a group of people you are speaking to.   | Konuştuğunuz bir grup insandan (siz) bahseder.
200  | Themselves                              | Kendileri                               | Used to talk about other people (they).                     | Başka insanlardan (onlar) bahsederken kullanılır.
201  | Participate                             | Katılmak / İştirak etmek                | To join in an activity or event.                            | Bir etkinliğe veya olaya dahil olmak.
202  | Occasion                                | Fırsat / Özel durum                     | A special event or time.                                    | Özel bir etkinlik veya zaman.
203  | Occasions                               | Fırsatlar / Özel durumlar               | Special events or times.                                    | Özel etkinlikler veya zamanlar.
204  | Culture                                 | Kültür                                  | The art, beliefs, and ways of a group of people.            | Bir grup insanın sanatı, inançları ve yaşam tarzı.
205  | Cultures                                | Kültürler                               | Different ways of life around the world.                    | Dünyadaki farklı yaşam tarzları.
206  | Preparation                             | Hazırlık                                | Getting ready for something.                                | Bir şey için hazır olma işlemi.
207  | Preparations                            | Hazırlıklar                             | Things you do to get ready.                                 | Hazır olmak için yaptığın şeyler.
208  | Miss                                    | Özlemek / Kaçırmak                      | To feel sad because someone is not there, or to not catch.  | Biri olmadığı için üzülmek veya bir şeyi yakalayamamak.
209  | Throw                                   | Fırlatmak / Atmak                       | To send something through the air with your hand.           | Bir şeyi elinle havaya doğru yollamak.
210  | Admiration                              | Hayranlık                               | A feeling of respecting or liking someone very much.        | Birine çok saygı duyma veya onu çok beğenme hissi.
211  | Wrestling                               | Güreş                                   | A sport where two people try to throw each other to the ground.| İki kişinin birbirini yere atmaya çalıştığı bir spor.
212  | Entertain                               | Eğlendirmek                             | To make people have fun.                                    | İnsanların eğlenmesini sağlamak.
213  | Time                                    | Zaman / Defa                            | Minutes, hours, days, or occasions.                         | Dakikalar, saatler, günler veya durumlar.
214  | Times                                   | Zamanlar / Defalar                      | Occasions or history periods.                               | Durumlar, kere, defa veya geçmişteki dönemler.
215  | Expression                              | İfade                                   | Words used to show a feeling or idea.                       | Bir hissi veya fikri göstermek için kullanılan söz.
216  | Expressions                             | İfadeler                                | Many words used to show feelings or ideas.                  | Hisleri veya fikirleri gösteren sözler.
217  | Month                                   | Ay                                      | One of the 12 parts of a year.                              | Bir yılın 12 bölümünden biri.
218  | Months                                  | Aylar                                   | The 12 parts of a year.                                     | Bir yılın 12 bölümleri.
219  | Before                                  | Önce / Öncesinde                        | Earlier than a time.                                        | Belirli bir zamandan daha erken.
220  | After                                   | Sonra / Sonrasında                      | Later than a time.                                          | Belirli bir zamandan daha geç.
221  | Now                                     | Şimdi / Şu an                           | At this very moment.                                        | Tam olarak içinde bulunduğumuz an.
222  | While                                   | İken / Sırasında                        | At the same time as something else.                         | Başka bir şeyle aynı anda olduğu vakit.
223  | Every Year                              | Her yıl / Her sene                      | Happening all years.                                        | Bütün yıllarda olan şey.
224  | Year                                    | Yıl / Sene                              | 365 days.                                                   | 365 gün süren zaman.
225  | Years                                   | Yıllar / Seneler                        | Many groups of 365 days.                                    | 365 günden oluşan grupların çoğu.
